caseno_2011,prev_address_2011,age_2011,distance_to_work_2011,no_of_cars_2011,country_birth_2011,deprived_edu_2011,deprived_employ_2011,deprived_health_2011,deprived_housing_2011,deprived_2011,health_activity_limited_2011,child_2011,ethnicity_2011,general_health_2011,edu_2011,illness_in_house_2011,occupation_2011,prev_region_2011,social_grade_2011,sex_2011,tenure_2011,travel_mode_to_work_2011,travel_mode_to_work_2001,place_of_work_2011,live_near_work_2011,workplace_2011
2832417,1,15,,1,1,0,0,0,0,1,3,1,1,2,15,0,23,,,2,0,,,,,
2832423,1,3,,1,1,0,0,0,0,1,3,6,1,1,,0,,,,1,0,,,,,
2832442,1,8,9,4,1,0,0,0,0,1,3,5,1,1,11,0,33,,2,1,1,7,7,3,2,1
2832474,1,11,9,4,2,0,1,1,0,3,2,1,1,3,15,2,71,,3,1,1,7,7,3,2,1
2832504,2,4,1,0,1,0,0,0,1,2,3,1,1,2,12,0,52,8,4,2,5,10,10,1,3,3
2832503,1,7,5,2,1,0,0,0,0,1,3,1,1,1,12,0,13,,2,1,1,7,7,1,4,4
2832518,1,15,,2,1,0,0,1,0,2,2,1,1,3,10,1,43,,,2,0,,,,,
2832535,1,16,,2,1,0,0,0,0,1,3,1,1,2,15,0,22,,,1,0,,,,,
2832552,3,3,,2,1,0,0,0,1,2,3,3,1,1,,0,,9,,1,1,,,,,
2832586,2,3,,1,1,0,0,1,0,2,3,4,1,1,,1,,8,,2,5,,,,,
2832599,1,12,8,1,1,0,0,0,0,1,3,,1,2,15,0,34,,2,1,0,1,1,2,1,2
2832597,3,3,,2,1,0,0,0,0,1,3,3,1,1,,0,,9,,1,1,,,,,
2832614,1,11,3,3,1,0,0,0,0,1,3,1,1,1,15,0,22,,1,2,1,7,7,1,3,3
2832631,1,7,4,4,1,0,0,0,0,1,3,4,1,1,15,0,32,,1,2,1,7,7,1,4,4
2832656,1,15,,1,1,1,0,1,1,4,2,1,1,3,10,2,75,,,2,0,,,,,
